row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,country,region,postal_code,sales,quantity,discount,profit
1,CA-2016-152156,2016-11-08,2016-11-11,"Second Class",CG-12520,FUR-BO-10001798,"United States",South,42420,261.96,2,NULL,41.91
2,CA-2016-152156,2016-11-08,2016-11-11,"Second Class",CG-12520,FUR-CH-10000454,"United States",South,42420,731.94,3,NULL,219.58
3,CA-2016-138688,2016-06-12,2016-06-16,"Second Class",DV-13045,OFF-LA-10000240,"United States",West,90036,14.62,2,NULL,6.87
4,US-2015-108966,2015-10-11,2015-10-18,"Standard Class",SO-20335,FUR-TA-10000577,"United States",South,33311,957.58,5,0.45,-383.03
5,US-2015-108966,2015-10-11,2015-10-18,"Standard Class",SO-20335,OFF-ST-10000760,"United States",South,33311,22.37,2,0.2,2.52
6,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,FUR-FU-10001487,"United States",West,90032,48.86,7,NULL,14.17
7,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,OFF-AR-10002833,"United States",West,90032,7.28,4,NULL,1.97
8,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,TEC-PH-10002275,"United States",West,90032,907.15,6,0.2,90.72
9,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,OFF-BI-10003910,"United States",West,90032,18.5,3,0.2,5.78
10,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,OFF-AP-10002892,"United States",West,90032,114.9,5,NULL,34.47
11,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,FUR-TA-10001539,"United States",West,90032,1706.18,9,0.2,85.31
12,CA-2014-115812,2014-06-09,2014-06-14,"Standard Class",BH-11710,TEC-PH-10002033,"United States",West,90032,911.42,4,0.2,68.36
13,CA-2017-114412,2017-04-15,2017-04-20,"Standard Class",AA-10480,OFF-PA-10002365,"United States",South,28027,15.55,3,0.2,5.44
14,CA-2016-161389,2016-12-05,2016-12-10,"Standard Class",IM-15070,OFF-BI-10003656,"United States",West,98103,407.98,3,0.2,132.59
15,US-2015-118983,2015-11-22,2015-11-26,"Standard Class",HP-14815,OFF-AP-10002311,"United States",Central,76106,68.81,5,0.8,-123.86
16,US-2015-118983,2015-11-22,2015-11-26,"Standard Class",HP-14815,OFF-BI-10000756,"United States",Central,76106,2.54,3,0.8,-3.82
17,CA-2014-105893,2014-11-11,2014-11-18,"Standard Class",PK-19075,OFF-ST-10004186,"United States",Central,53711,665.88,6,NULL,13.32
18,CA-2014-167164,2014-05-13,2014-05-15,"Second Class",AG-10270,OFF-ST-10000107,"United States",West,84084,55.5,2,NULL,9.99
19,CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,OFF-AR-10003056,"United States",West,94109,8.56,2,NULL,2.48
20,CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,TEC-PH-10001949,"United States",West,94109,213.48,3,0.2,16.01
21,CA-2014-143336,2014-08-27,2014-09-01,"Second Class",ZD-21925,OFF-BI-10002215,"United States",West,94109,22.72,4,0.2,7.38
22,CA-2016-137330,2016-12-09,2016-12-13,"Standard Class",KB-16585,OFF-AR-10000246,"United States",Central,68025,19.46,7,NULL,5.06
23,CA-2016-137330,2016-12-09,2016-12-13,"Standard Class",KB-16585,OFF-AP-10001492,"United States",Central,68025,60.34,7,NULL,15.69
24,US-2017-156909,2017-07-16,2017-07-18,"Second Class",SF-20065,FUR-CH-10002774,"United States",East,19140,71.37,2,0.3,-1.02
25,CA-2015-106320,2015-09-25,2015-09-30,"Standard Class",EB-13870,FUR-TA-10000577,"United States",West,84057,1044.63,3,NULL,240.26
26,CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,OFF-BI-10001634,"United States",West,90049,11.65,2,0.2,4.22
27,CA-2016-121755,2016-01-16,2016-01-20,"Second Class",EH-13945,TEC-AC-10003027,"United States",West,90049,90.57,3,NULL,11.77
28,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,FUR-BO-10004834,"United States",East,19140,3083.43,7,0.5,-1665.05
29,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,OFF-BI-10000474,"United States",East,19140,9.62,2,0.7,-7.05
30,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,FUR-FU-10004848,"United States",East,19140,124.2,3,0.2,15.52
31,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,OFF-EN-10001509,"United States",East,19140,3.26,2,0.2,1.1
32,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,OFF-AR-10004042,"United States",East,19140,86.3,6,0.2,9.71
34,US-2015-150630,2015-09-17,2015-09-21,"Standard Class",TB-21520,OFF-AR-10001683,"United States",East,19140,15.76,2,0.2,3.55
35,CA-2017-107727,2017-10-19,2017-10-23,"Second Class",MA-17560,OFF-PA-10000249,"United States",Central,77095,29.47,3,0.2,9.95
36,CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,TEC-PH-10004977,"United States",Central,75080,1097.54,7,0.2,123.47
37,CA-2016-117590,2016-12-08,2016-12-10,"First Class",GH-14485,FUR-FU-10003664,"United States",Central,75080,190.92,5,0.6,-147.96
38,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,OFF-EN-10002986,"United States",Central,77041,113.33,9,0.2,35.42
39,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,FUR-BO-10002545,"United States",Central,77041,532.4,3,0.32,-46.98
40,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,FUR-CH-10004218,"United States",Central,77041,212.06,3,0.3,-15.15
41,CA-2015-117415,2015-12-27,2015-12-31,"Standard Class",SN-20710,TEC-PH-10000486,"United States",Central,77041,371.17,4,0.2,41.76
42,CA-2017-120999,2017-09-10,2017-09-15,"Standard Class",LC-16930,TEC-PH-10004093,"United States",Central,60540,147.17,4,0.2,16.56
43,CA-2016-101343,2016-07-17,2016-07-22,"Standard Class",RA-19885,OFF-ST-10003479,"United States",West,90049,77.88,2,NULL,3.89
44,CA-2017-139619,2017-09-19,2017-09-23,"Standard Class",ES-14080,OFF-ST-10003282,"United States",South,32935,95.62,2,0.2,9.56
45,CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,TEC-AC-10000171,"United States",Central,55122,45.98,2,NULL,19.77
46,CA-2016-118255,2016-03-11,2016-03-13,"First Class",ON-18715,OFF-BI-10003291,"United States",Central,55122,17.46,2,NULL,8.21
47,CA-2014-146703,2014-10-20,2014-10-25,"Second Class",PO-18865,OFF-ST-10001713,"United States",Central,48185,211.96,4,NULL,8.48
48,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,TEC-AC-10002167,"United States",East,19901,45,3,NULL,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,"Standard Class",LH-16900,TEC-PH-10003988,"United States",East,19901,21.8,2,NULL,6.1
50,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,OFF-BI-10004410,"United States",Central,47150,38.22,6,NULL,17.96
51,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,OFF-LA-10002762,"United States",Central,47150,75.18,6,NULL,35.33
52,CA-2015-115742,2015-04-18,2015-04-22,"Standard Class",DP-13000,FUR-FU-10001706,"United States",Central,47150,6.16,2,NULL,2.96
